Time (Hours),R.S.19 Carbon Neg. Control,R.S.19 Propionic Acid,R.S.19 L-Glutamate,R.S.19 D-Glucose,R.S.19 Potasium Sorbate,R.S.19 Lactulose,R.S.19 Glycerol,R.S.19 Myo-Inositol,R.S.19 D-Serine,R.S.19 D-Galactose,R.S.19 Oxalate,R.S.19 Malate,R.S.19 L-Methionine,R.S.19 Glycine,R.S.19 Quinic Acid,R.S.19 Sodium Succinate,R.S.19 Dulcitol,R.S.19 Alpha-D-Glucose,R.S.19 L-Xylose,R.S.19 L-Aspartate,R.S.19 D-Fructose,R.S.19 L-Valine,R.S.19 Sodium Pyruvate,R.S.19 Lactate,R.S.19 Citrate,R.S.19 D-Mannose,R.S.19 L-Serine,R.S.19 D-Salicin,R.S.19 D-Cellubiose,R.S.19 Adonitol,R.S.19 D-Glucose-6-phosphate,R.S.19 L-Sorbose,R.S.19 D-Arabitol,R.S.19 L-Lysine,R.S.19 D-Trehalose,R.S.19 Acetate,R.S.19 L-Alanine,R.S.19 L-Arabinose,R.S.19 L-Threonine,R.S.19 4 Hydroxy-Phenylacetate,R.S.19 D-Ribose,R.S.19 Alpha-D-Melebiose,R.S.19 D-Alanine,R.S.19 L-Fucose,R.S.19 L-Asparagine,R.S.19 L-Leucine,R.S.19 D-Aspartate,R.S.19 Inosine,R.S.19 Thymidine,R.S.19 Sucrose,R.S.19 D-Xylose,R.S.19 L-Cysteine,R.S.19 Alpha-D-Lactose,R.S.19 D-Raffinose,R.S.19 D-Asparagine,R.S.19 i-Erythritol,R.S.19 D-Cysteine,R.S.19 L-Isoleucine,R.S.19 L-Cysteate,R.S.19 Adenosine,R.S.19 Xylitol,R.S.19 L-Glutamine,R.S.19 L-Rhamnose,R.S.19 Putrescine,R.S.19 2-Deoxy-D-Ribose,R.S.19 L-Arabitol,R.S.19 D-Glucosamine,R.S.19 L-Phenylalanine,R.S.19 D-Glutamate,R.S.19 D-Arabinose,R.S.19 L-Tryptophan,R.S.19 L-Pyro-Glutamate,R.S.19 Nitrogen Neg. Control,R.S.19 Tyramine,R.S.19 Uridine,R.S.19 Inosine,R.S.19 Histamine,R.S.19 L-Pyro-Glutamate,R.S.19 Cytidine,R.S.19 Adenosine,R.S.19 L-Arginine,R.S.19 Thiourea,R.S.19 Biuret,R.S.19 Guanidine,R.S.19 L-Histidine,R.S.19 Thymine,R.S.19 L-Glutathione,R.S.19 Allantoin,R.S.19 Adenine,R.S.19 Glycine,R.S.19 Beta-Phenylethylamine,R.S.19 L-Proline,R.S.19 D-Methionine,R.S.19 Cytosine,R.S.19 D-Valine,R.S.19 N-Acetyl-D-Glucosamine
11.5,0.216913,0.176928,0.237352,0.250253,0.31365,0.21308,0.25705,0.214441,0.22673,0.216635,0.139588,0.129804,0.191952,0.209507,0.18727,0.213731,0.221611,0.255602,0.13471,0.20471,0.240176,0.135374,0.219595,0.204255,0.167646,0.236081,0.24086,0.211714,0.207838,0.212636,0.217273,0.20063,0.218606,0.215975,0.240426,0.18433,0.228881,0.209244,0.213198,0.208114,0.205004,0.214954,0.230922,0.216797,0.178517,0.213133,0.199372,0.222621,0.211387,0.235326,0.202626,0.212328,0.205622,0.208906,0.223133,0.204439,0.17135,0.219737,0.1987,0.213719,0.222204,0.264488,0.213198,0.176485,0.229649,0.190937,0.222808,0.224453,0.201048,0.224659,0.226749,0.239675,0.296494,0.22401,0.270508,0.252842,0.197746,0.302318,0.266725,0.257436,0.353903,0.246773,0.2642,0.19793,0.25491,0.269454,0.357835,0.265711,0.212785,0.164886,0.217949,0.323077,0.281253,0.28118,0.264432,0.248657
12,0.219404,0.174118,0.239511,0.260692,0.320706,0.210862,0.261381,0.211831,0.22667,0.21651,0.13856,0.130134,0.186576,0.210259,0.190488,0.218865,0.222292,0.264792,0.136066,0.208192,0.247066,0.136583,0.225198,0.208369,0.174355,0.242475,0.244477,0.214625,0.211436,0.214991,0.224171,0.203558,0.220638,0.216752,0.246715,0.187896,0.23025,0.213117,0.216858,0.213436,0.208702,0.218065,0.239915,0.220421,0.17716,0.21616,0.203288,0.222024,0.215058,0.242043,0.208052,0.216496,0.20889,0.21345,0.226298,0.207426,0.172318,0.223206,0.202551,0.217589,0.22496,0.273507,0.217727,0.179879,0.23261,0.193828,0.228796,0.225009,0.204941,0.225954,0.227389,0.242501,0.308551,0.227879,0.282332,0.261496,0.207978,0.326004,0.281518,0.264161,0.372203,0.253409,0.268155,0.197899,0.260478,0.277591,0.386645,0.275368,0.211691,0.166349,0.222396,0.33984,0.295274,0.289108,0.270077,0.25389
12.5,0.220707,0.171443,0.240769,0.2725,0.326237,0.205891,0.263372,0.209586,0.227595,0.21599,0.138635,0.129942,0.179352,0.210926,0.193808,0.22236,0.220818,0.275435,0.140049,0.211551,0.251103,0.137532,0.230068,0.211449,0.180413,0.248593,0.248588,0.215667,0.212893,0.216085,0.229979,0.205381,0.220546,0.216474,0.252392,0.190221,0.230828,0.215708,0.218504,0.217859,0.212762,0.219245,0.24542,0.221578,0.173826,0.217732,0.206247,0.221476,0.218086,0.24696,0.212936,0.220316,0.211899,0.217648,0.22826,0.208449,0.172573,0.224965,0.206698,0.223163,0.224851,0.281238,0.221176,0.182876,0.234228,0.196476,0.234554,0.224967,0.208215,0.227016,0.229807,0.247217,0.319021,0.230744,0.2951,0.270474,0.219146,0.349906,0.297334,0.269196,0.392407,0.26098,0.273423,0.198595,0.265175,0.28596,0.417706,0.285513,0.211006,0.168371,0.225845,0.356437,0.310628,0.299749,0.273956,0.259728
13,0.21784,0.168468,0.239481,0.282721,0.329609,0.2006,0.266391,0.204729,0.225215,0.214349,0.137698,0.128099,0.172637,0.21025,0.192301,0.221822,0.21705,0.282967,0.137087,0.209976,0.255174,0.136189,0.232471,0.215043,0.183756,0.251583,0.248635,0.214079,0.210946,0.213822,0.234023,0.204919,0.219012,0.215592,0.254477,0.191711,0.228977,0.213538,0.217268,0.219103,0.2129,0.217384,0.23616,0.220821,0.170461,0.215566,0.206207,0.217051,0.220873,0.25407,0.213243,0.219114,0.210395,0.216337,0.226894,0.206485,0.170313,0.223145,0.207197,0.224485,0.222218,0.284516,0.219551,0.183096,0.233183,0.195295,0.238038,0.221899,0.205442,0.224069,0.22625,0.244282,0.330007,0.232305,0.306431,0.276281,0.229843,0.371068,0.313065,0.273473,0.414063,0.264882,0.273491,0.198719,0.269792,0.294605,0.451311,0.294076,0.21,0.171492,0.229688,0.3761,0.328395,0.310806,0.278533,0.264293
13.5,0.221541,0.166967,0.245098,0.297486,0.340106,0.203356,0.277318,0.210478,0.232124,0.219731,0.140778,0.132576,0.169248,0.210121,0.1962,0.227765,0.219671,0.300978,0.143547,0.216445,0.263112,0.137029,0.239574,0.218011,0.186072,0.258252,0.251965,0.216116,0.213751,0.216302,0.244233,0.208387,0.222147,0.217334,0.262163,0.193147,0.229317,0.216187,0.219898,0.223354,0.217518,0.220237,0.250532,0.224739,0.171603,0.219286,0.211603,0.220731,0.22615,0.258421,0.218855,0.222659,0.212716,0.221783,0.230377,0.20955,0.172376,0.2278,0.212414,0.227237,0.222706,0.293967,0.223259,0.186098,0.235207,0.198211,0.244526,0.223004,0.212211,0.227366,0.230248,0.249349,0.345833,0.235962,0.319894,0.285606,0.243548,0.395997,0.332665,0.281008,0.43681,0.275888,0.281446,0.199828,0.277491,0.306788,0.481982,0.305368,0.210104,0.175985,0.234621,0.396793,0.346359,0.327104,0.284871,0.271862
14,0.223282,0.164652,0.246013,0.311203,0.346339,0.198951,0.279599,0.204105,0.229631,0.21596,0.139162,0.130195,0.160996,0.208098,0.200174,0.232564,0.220317,0.31633,0.144926,0.218469,0.268817,0.135158,0.243852,0.222328,0.187482,0.266277,0.255753,0.218181,0.21588,0.21718,0.251904,0.210288,0.221429,0.217088,0.267365,0.194848,0.230459,0.220306,0.222043,0.227005,0.221093,0.221429,0.2472,0.228153,0.172719,0.221394,0.216142,0.22271,0.226335,0.263272,0.225256,0.224849,0.215507,0.226121,0.233082,0.211538,0.173491,0.232008,0.218344,0.231679,0.223421,0.303323,0.228121,0.189256,0.238078,0.200891,0.249854,0.222912,0.217058,0.229508,0.233474,0.256071,0.365913,0.240298,0.340848,0.297644,0.260235,0.425357,0.35477,0.289469,0.457151,0.28664,0.287454,0.200793,0.281656,0.315355,0.499163,0.317442,0.208804,0.183315,0.23805,0.414943,0.369425,0.344979,0.289092,0.279809
14.5,0.222516,0.162876,0.247465,0.333039,0.347467,0.189728,0.27982,0.198638,0.229519,0.216689,0.139538,0.130798,0.157046,0.208315,0.199495,0.234289,0.218425,0.333744,0.143811,0.220179,0.275012,0.133893,0.248559,0.225645,0.187463,0.269903,0.255895,0.217391,0.21538,0.216659,0.258459,0.210656,0.221385,0.216286,0.27124,0.195946,0.229249,0.219317,0.221138,0.228618,0.222817,0.220903,0.25313,0.229332,0.173859,0.221173,0.216495,0.22543,0.231446,0.269634,0.228626,0.225226,0.215169,0.227745,0.232515,0.211522,0.172314,0.231037,0.219629,0.233167,0.22268,0.30773,0.227271,0.190073,0.236946,0.20156,0.255402,0.221919,0.219541,0.22801,0.232331,0.256314,0.378236,0.24344,0.356231,0.305372,0.276694,0.452112,0.376389,0.294866,0.477887,0.29405,0.288993,0.201661,0.287473,0.326724,0.516413,0.328262,0.209351,0.191261,0.24157,0.433205,0.392767,0.362471,0.291839,0.291734
15,0.218463,0.160798,0.246249,0.350888,0.35173,0.183796,0.283064,0.195206,0.228207,0.215628,0.139808,0.131876,0.149791,0.20389,0.19863,0.234262,0.214664,0.350815,0.142687,0.220252,0.277885,0.131133,0.249897,0.228641,0.186782,0.273298,0.253896,0.214583,0.212821,0.213561,0.264581,0.21026,0.218188,0.213799,0.2729,0.195265,0.22468,0.216583,0.217604,0.229517,0.222057,0.21898,0.242485,0.228653,0.170983,0.218822,0.214802,0.22711,0.232529,0.271136,0.232371,0.22473,0.214028,0.227773,0.230777,0.209323,0.168848,0.229469,0.219142,0.232626,0.217035,0.309955,0.22401,0.190485,0.234584,0.200248,0.25921,0.217445,0.220073,0.225773,0.22985,0.253357,0.390572,0.245744,0.370355,0.312614,0.29319,0.479768,0.397985,0.299014,0.498575,0.301865,0.290128,0.201189,0.294169,0.33778,0.529498,0.338846,0.206913,0.199258,0.24384,0.450963,0.400542,0.382557,0.296292,0.296962
15.5,0.21906,0.159973,0.248884,0.375072,0.356389,0.174442,0.28547,0.188284,0.223433,0.214129,0.13861,0.130113,0.142598,0.203814,0.199658,0.237719,0.214291,0.372446,0.140156,0.220605,0.284159,0.127991,0.254644,0.232552,0.187525,0.280651,0.257161,0.214806,0.212942,0.213424,0.273575,0.210198,0.217275,0.21224,0.277933,0.196349,0.225103,0.217548,0.218578,0.232659,0.225672,0.219436,0.253732,0.232519,0.173086,0.219343,0.217076,0.230658,0.235978,0.277921,0.240658,0.225837,0.214434,0.231308,0.232683,0.210713,0.168858,0.2316,0.223001,0.235154,0.2171,0.316551,0.225779,0.192584,0.235801,0.202991,0.266078,0.216487,0.223105,0.226094,0.232055,0.258969,0.408235,0.249263,0.387573,0.32415,0.315382,0.499036,0.420791,0.306203,0.512858,0.313593,0.294959,0.203219,0.3013,0.350497,0.557594,0.352558,0.208148,0.214416,0.247877,0.480992,0.350874,0.402558,0.299595,0.312676
16,0.220269,0.157407,0.251953,0.399152,0.364713,0.173566,0.290489,0.18664,0.22642,0.215747,0.139878,0.130257,0.138223,0.20198,0.201159,0.242701,0.214635,0.39811,0.139293,0.223755,0.293338,0.125695,0.260032,0.237517,0.188427,0.288199,0.25751,0.214638,0.212924,0.213811,0.281915,0.212465,0.217625,0.211872,0.283595,0.196992,0.224702,0.219582,0.219194,0.235134,0.228086,0.219718,0.24651,0.237394,0.178147,0.220766,0.219325,0.234578,0.237079,0.282037,0.249186,0.226299,0.214774,0.234006,0.234027,0.211387,0.168535,0.233115,0.225447,0.236606,0.216613,0.323836,0.226953,0.195466,0.235488,0.204074,0.274174,0.215259,0.22626,0.225941,0.233288,0.260504,0.406762,0.253228,0.403917,0.334582,0.341256,0.523263,0.438385,0.314641,0.54612,0.325654,0.298761,0.206186,0.309394,0.35419,0.594459,0.360097,0.209154,0.230944,0.251122,0.490582,0.330981,0.422914,0.302884,0.322132
16.5,0.221336,0.155144,0.254547,0.42255,0.369794,0.165391,0.293821,0.182634,0.224596,0.216824,0.138737,0.130461,0.133671,0.200914,0.203669,0.247384,0.215389,0.426215,0.138216,0.226669,0.303569,0.12278,0.263917,0.241643,0.189542,0.29648,0.259488,0.215192,0.212885,0.213036,0.29039,0.213865,0.217599,0.210921,0.288254,0.198615,0.224632,0.220666,0.219814,0.238714,0.230104,0.219505,0.24823,0.241692,0.182157,0.221161,0.219406,0.238505,0.240064,0.287184,0.258912,0.226879,0.215156,0.236448,0.234022,0.211539,0.166775,0.233944,0.227637,0.238816,0.215538,0.327314,0.227057,0.196932,0.235988,0.204248,0.282251,0.212029,0.228998,0.225281,0.233299,0.263295,0.417299,0.256167,0.411687,0.343794,0.366605,0.551956,0.454042,0.321178,0.592946,0.337394,0.300416,0.208753,0.316078,0.357826,0.653135,0.366504,0.210918,0.245215,0.254571,0.501156,0.305863,0.452366,0.305191,0.323768
17,0.219873,0.154429,0.257161,0.459111,0.377264,0.163721,0.3,0.180662,0.226047,0.219598,0.139529,0.13146,0.130512,0.199158,0.203288,0.249461,0.213851,0.4551,0.13691,0.227799,0.311388,0.119869,0.267422,0.246638,0.190146,0.30156,0.25957,0.214131,0.211935,0.212347,0.297159,0.21453,0.215349,0.209428,0.29268,0.198378,0.223692,0.219573,0.217964,0.239797,0.231672,0.220361,0.250462,0.247052,0.186291,0.220055,0.218709,0.240637,0.242685,0.290072,0.268622,0.22719,0.2148,0.239275,0.234794,0.211719,0.16458,0.232818,0.228914,0.239389,0.212359,0.331757,0.224997,0.198181,0.234414,0.20535,0.290036,0.209455,0.230355,0.222784,0.234172,0.265483,0.41481,0.25903,0.415062,0.354243,0.392964,0.596127,0.472548,0.328205,0.62451,0.349494,0.303327,0.213267,0.322874,0.364066,0.697229,0.373448,0.210171,0.250356,0.255757,0.511609,0.294021,0.481615,0.307909,0.327135
17.5,0.222961,0.155234,0.263391,0.480994,0.384691,0.163362,0.306201,0.178775,0.225822,0.222205,0.1406,0.133598,0.128699,0.198051,0.207422,0.255215,0.217859,0.48842,0.140278,0.232941,0.323621,0.118528,0.273412,0.250771,0.190545,0.314434,0.264257,0.217027,0.214218,0.213939,0.305779,0.217063,0.217681,0.211773,0.301059,0.198161,0.225221,0.22211,0.2207,0.243104,0.234783,0.222316,0.252797,0.256638,0.194268,0.22226,0.223652,0.247171,0.246345,0.293415,0.285098,0.229785,0.217497,0.244036,0.238404,0.212634,0.16513,0.23655,0.234588,0.242633,0.213083,0.339545,0.229066,0.201519,0.236506,0.208146,0.297985,0.208611,0.233583,0.224826,0.23937,0.272345,0.41688,0.263914,0.423144,0.367854,0.423175,0.650383,0.499588,0.334284,0.623601,0.366795,0.309534,0.217069,0.332053,0.387693,0.734734,0.394286,0.209683,0.267171,0.257932,0.493627,0.289275,0.496576,0.311629,0.326924
18,0.226867,0.154551,0.270489,0.506503,0.397548,0.16543,0.314405,0.179697,0.230623,0.229239,0.142163,0.134151,0.128331,0.197503,0.212051,0.261751,0.221819,0.514981,0.141051,0.237238,0.338443,0.116994,0.278956,0.256263,0.192584,0.323814,0.267667,0.220056,0.216682,0.216607,0.313072,0.220786,0.218471,0.212827,0.30808,0.200577,0.227476,0.226022,0.223822,0.248526,0.240756,0.226133,0.257288,0.268317,0.203432,0.223374,0.226608,0.255161,0.249612,0.297102,0.304534,0.233777,0.221587,0.251049,0.243703,0.215757,0.166933,0.239241,0.238248,0.248527,0.214137,0.347043,0.231912,0.205928,0.239038,0.214647,0.307867,0.208656,0.238343,0.224915,0.244342,0.278407,0.430297,0.2699,0.426319,0.377951,0.449225,0.707761,0.529376,0.342989,0.631438,0.381234,0.315588,0.225227,0.341984,0.416356,0.764228,0.416596,0.213241,0.282931,0.259809,0.478937,0.283676,0.518494,0.313762,0.334856
18.5,0.230896,0.156562,0.2781,0.538476,0.404468,0.168049,0.323499,0.182286,0.234017,0.235158,0.144426,0.136187,0.126329,0.199715,0.21599,0.269234,0.226562,0.549935,0.144269,0.24243,0.352157,0.117049,0.285526,0.260889,0.196482,0.337306,0.27244,0.224532,0.22121,0.220113,0.319747,0.225612,0.222038,0.215446,0.315278,0.200431,0.232097,0.230519,0.227281,0.254696,0.247058,0.231468,0.262868,0.280356,0.211486,0.224068,0.228063,0.257758,0.247359,0.300247,0.328545,0.238749,0.226603,0.257665,0.248614,0.2179,0.167696,0.240423,0.242135,0.254141,0.216294,0.353727,0.234907,0.211741,0.241146,0.2185,0.316062,0.208142,0.24195,0.224919,0.250734,0.284723,0.458113,0.277481,0.437777,0.389764,0.480352,0.746475,0.571408,0.350059,0.637735,0.395084,0.320383,0.232031,0.35314,0.441713,0.791967,0.432522,0.214651,0.30269,0.262115,0.468936,0.285662,0.527629,0.315469,0.349397
19,0.229292,0.154202,0.27985,0.583306,0.416651,0.166139,0.328491,0.183374,0.235473,0.240833,0.144804,0.13785,0.128212,0.196402,0.216878,0.274412,0.227347,0.583001,0.143128,0.244733,0.364271,0.115069,0.289404,0.270032,0.194933,0.345079,0.272923,0.224027,0.220129,0.22058,0.322089,0.225006,0.221257,0.21476,0.322388,0.200789,0.231317,0.229153,0.225935,0.256488,0.248835,0.233532,0.264466,0.289161,0.217758,0.221779,0.228729,0.26086,0.249059,0.302896,0.347819,0.239121,0.227503,0.259662,0.249742,0.216387,0.16628,0.239162,0.243177,0.257164,0.213546,0.35291,0.233188,0.213554,0.240122,0.217685,0.324553,0.205648,0.242413,0.222962,0.25202,0.286068,0.510613,0.283811,0.456607,0.393811,0.510889,0.778812,0.61623,0.352451,0.618496,0.405543,0.32286,0.24115,0.367746,0.45928,0.81314,0.43618,0.215498,0.32188,0.261592,0.471999,0.285398,0.540176,0.316783,0.373101
19.5,0.226036,0.153982,0.280408,0.627832,0.408534,0.161263,0.328037,0.179563,0.231677,0.243027,0.143595,0.13839,0.125067,0.193484,0.215194,0.277283,0.225358,0.626464,0.138445,0.244609,0.376588,0.11113,0.293901,0.276773,0.192618,0.348726,0.269969,0.220081,0.215908,0.216109,0.320077,0.221605,0.216543,0.210705,0.325363,0.201593,0.228137,0.226148,0.221695,0.255548,0.246079,0.230109,0.262694,0.296534,0.228253,0.218453,0.227992,0.260235,0.251656,0.307495,0.367263,0.234308,0.222321,0.258022,0.246206,0.212607,0.16301,0.235484,0.239966,0.257,0.208037,0.350133,0.229493,0.2123,0.23737,0.214842,0.335825,0.201613,0.239794,0.218533,0.25,0.284425,0.539033,0.285177,0.484263,0.395705,0.541052,0.785144,0.664084,0.355078,0.606382,0.411133,0.321497,0.249707,0.386549,0.468102,0.841837,0.447336,0.217455,0.345619,0.263017,0.467392,0.290457,0.540031,0.317868,0.386273
20,0.221549,0.153219,0.280528,0.669717,0.400694,0.154403,0.326425,0.171733,0.227118,0.244159,0.141208,0.13811,0.123666,0.190497,0.211298,0.275588,0.222275,0.67077,0.131965,0.243976,0.389777,0.106921,0.292597,0.289627,0.190906,0.349842,0.265515,0.215221,0.210696,0.211719,0.315392,0.218109,0.212296,0.20817,0.326645,0.20195,0.225922,0.222052,0.216289,0.253807,0.243536,0.228804,0.260451,0.303164,0.230653,0.215351,0.225902,0.260806,0.253356,0.309369,0.387656,0.231891,0.218182,0.255087,0.243617,0.210184,0.159462,0.232745,0.238235,0.256303,0.205555,0.349551,0.225417,0.211945,0.233836,0.213134,0.345655,0.197307,0.238916,0.215666,0.247332,0.284681,0.555303,0.286615,0.521195,0.40053,0.567299,0.806344,0.712621,0.357916,0.582704,0.41828,0.323875,0.261587,0.404856,0.471874,0.86459,0.444163,0.219845,0.374425,0.266107,0.460846,0.294577,0.534084,0.319584,0.399327
20.5,0.221546,0.152354,0.280853,0.718923,0.403995,0.156438,0.332976,0.17238,0.229578,0.253215,0.143872,0.140559,0.125433,0.189396,0.21203,0.277453,0.224801,0.716087,0.132717,0.257143,0.403947,0.106866,0.300949,0.299087,0.191779,0.351391,0.265363,0.214149,0.209594,0.210371,0.317862,0.216906,0.211347,0.207179,0.331135,0.202424,0.224814,0.220784,0.214878,0.254766,0.244405,0.229306,0.260533,0.311587,0.234311,0.214291,0.225661,0.265439,0.256654,0.30858,0.406768,0.230558,0.216283,0.254142,0.241497,0.208417,0.156717,0.231562,0.240121,0.258535,0.203186,0.350382,0.223212,0.21232,0.231692,0.210417,0.358224,0.194939,0.239881,0.214332,0.248025,0.290926,0.549997,0.290385,0.559755,0.405149,0.594666,0.814454,0.768932,0.360957,0.577633,0.422863,0.329385,0.275168,0.423004,0.476425,0.880592,0.44934,0.222381,0.392984,0.268578,0.441639,0.296773,0.531765,0.320879,0.411767
21,0.225875,0.155039,0.291426,0.764026,0.41069,0.159401,0.338565,0.172384,0.230088,0.26024,0.144337,0.142614,0.126083,0.189591,0.216465,0.280689,0.230392,0.762973,0.134704,0.273154,0.4189,0.107359,0.307573,0.306354,0.193383,0.357036,0.269008,0.217337,0.212613,0.213694,0.325876,0.220784,0.214083,0.209082,0.337374,0.203324,0.228327,0.224875,0.219185,0.26008,0.249942,0.237582,0.266179,0.326375,0.241845,0.216969,0.227247,0.268262,0.258115,0.311613,0.433965,0.234707,0.220159,0.260074,0.246379,0.211084,0.158515,0.234841,0.244381,0.262204,0.205115,0.3553,0.226257,0.21664,0.234437,0.215201,0.37341,0.195443,0.244407,0.215006,0.256595,0.298194,0.556839,0.291317,0.570835,0.408143,0.631743,0.824121,0.837741,0.366734,0.569564,0.4277,0.337266,0.28996,0.443739,0.479794,0.900939,0.454511,0.225819,0.421536,0.271935,0.416032,0.302741,0.539798,0.32277,0.417263
21.5,0.21997,0.150496,0.284057,0.809237,0.408846,0.156088,0.333794,0.168026,0.227463,0.266979,0.144226,0.144141,0.123886,0.185232,0.212592,0.273609,0.23019,0.806706,0.131708,0.286699,0.426542,0.105408,0.309292,0.311189,0.190382,0.352997,0.266276,0.214321,0.209138,0.210144,0.335976,0.217078,0.211002,0.205917,0.339726,0.203385,0.225131,0.220141,0.213699,0.257886,0.248528,0.237924,0.263059,0.335486,0.241457,0.212972,0.22382,0.268546,0.256324,0.312041,0.450986,0.229776,0.214913,0.256814,0.242665,0.207407,0.154258,0.229789,0.240069,0.259433,0.200132,0.352605,0.221354,0.215097,0.230969,0.211521,0.385447,0.190556,0.242366,0.210334,0.254056,0.292253,0.541748,0.293314,0.577493,0.413237,0.669195,0.829413,0.904437,0.36297,0.557901,0.425317,0.330986,0.301129,0.465863,0.484456,0.890333,0.451825,0.228734,0.451458,0.274599,0.393945,0.306471,0.534567,0.321779,0.420186
22,0.214593,0.150918,0.283985,0.855517,0.403793,0.147964,0.32804,0.161075,0.217862,0.267166,0.139762,0.141741,0.120515,0.182617,0.208188,0.269559,0.227812,0.836602,0.123117,0.276882,0.430588,0.100595,0.30995,0.316085,0.189921,0.350566,0.261086,0.208381,0.203646,0.20523,0.344537,0.210994,0.204628,0.201343,0.33618,0.203248,0.222125,0.215156,0.20819,0.2562,0.245937,0.240167,0.260296,0.340316,0.239325,0.208067,0.218018,0.264916,0.254643,0.311206,0.465442,0.22727,0.210606,0.254084,0.239187,0.20484,0.149734,0.225662,0.236585,0.25695,0.197363,0.351606,0.216039,0.213806,0.227711,0.209024,0.397534,0.18775,0.242231,0.206575,0.248673,0.290129,0.534197,0.292514,0.574499,0.421167,0.703367,0.840868,0.967553,0.364694,0.542336,0.435987,0.33309,0.312138,0.488454,0.491858,0.902137,0.452954,0.232596,0.485509,0.279544,0.386029,0.311829,0.54377,0.32186,0.42545
22.5,0.212378,0.151944,0.284203,0.890298,0.408591,0.146946,0.327034,0.158487,0.214268,0.273173,0.139313,0.147019,0.120023,0.182722,0.206182,0.282289,0.229315,0.854695,0.121118,0.269628,0.434344,0.0994984,0.31026,0.319799,0.189203,0.351392,0.260563,0.206606,0.201764,0.203919,0.363578,0.208148,0.202637,0.19928,0.335603,0.203872,0.220367,0.213058,0.205973,0.257103,0.24653,0.245091,0.259469,0.347487,0.239564,0.206641,0.216248,0.262246,0.257962,0.313617,0.479592,0.226789,0.2089,0.251777,0.236684,0.202343,0.1479,0.223737,0.235538,0.255838,0.19466,0.352007,0.214497,0.214748,0.226466,0.207193,0.406543,0.185836,0.242593,0.205925,0.246006,0.289012,0.531252,0.293232,0.579965,0.431111,0.733346,0.84718,0.993707,0.367857,0.549154,0.465032,0.337387,0.324494,0.499678,0.491047,0.909142,0.455683,0.236576,0.527229,0.284441,0.380076,0.317399,0.558927,0.321993,0.427729
23,0.210057,0.151008,0.280261,0.848913,0.408897,0.146793,0.328991,0.157378,0.216205,0.283314,0.140379,0.153384,0.120711,0.182285,0.204721,0.297535,0.234118,0.865798,0.121246,0.277025,0.440655,0.0990931,0.311365,0.321769,0.188177,0.350778,0.258588,0.205335,0.20074,0.202448,0.377859,0.20734,0.201338,0.198041,0.335166,0.204788,0.220021,0.211564,0.204344,0.257828,0.248221,0.247732,0.259854,0.357176,0.241359,0.205504,0.213858,0.262433,0.268788,0.314784,0.499195,0.225889,0.206998,0.250586,0.234866,0.20005,0.145888,0.221572,0.234352,0.25429,0.193618,0.354448,0.213185,0.215994,0.224853,0.205585,0.415889,0.18339,0.241982,0.203304,0.241224,0.286702,0.533875,0.291359,0.594014,0.440447,0.756874,0.851695,1.00257,0.367215,0.533553,0.499184,0.336818,0.338557,0.517354,0.488231,0.906912,0.465076,0.238218,0.563635,0.289053,0.376418,0.322667,0.557281,0.322793,0.434419
23.5,0.204497,0.152034,0.273079,0.812743,0.404361,0.140161,0.323543,0.154601,0.205047,0.283377,0.137283,0.153315,0.117062,0.181314,0.200253,0.3112,0.235847,0.870187,0.114448,0.273575,0.441347,0.0968364,0.312978,0.334419,0.18751,0.352292,0.255599,0.201221,0.197357,0.199279,0.392474,0.203931,0.196757,0.193471,0.329514,0.205637,0.217866,0.208396,0.200696,0.257645,0.248442,0.249004,0.259186,0.364271,0.240059,0.202249,0.207195,0.256347,0.27537,0.316783,0.514188,0.224014,0.203988,0.248693,0.233071,0.198834,0.142819,0.215952,0.228767,0.25053,0.191134,0.355033,0.209497,0.215472,0.221707,0.204333,0.42831,0.182717,0.242066,0.1996,0.236871,0.282849,0.529175,0.29033,0.589908,0.446967,0.76253,0.855201,1.01638,0.371427,0.524815,0.524231,0.337858,0.357706,0.536453,0.486229,0.887326,0.467563,0.240521,0.600438,0.297218,0.379842,0.329367,0.560338,0.322125,0.442539
24,0.212245,0.152188,0.273902,0.819546,0.410068,0.14941,0.325074,0.160961,0.215779,0.298281,0.141012,0.161912,0.120289,0.184159,0.206689,0.335349,0.243956,0.867506,0.122867,0.288551,0.448997,0.0988197,0.32475,0.39669,0.187801,0.359914,0.259268,0.206869,0.200703,0.202988,0.412665,0.208094,0.201581,0.198658,0.336201,0.20929,0.219558,0.212745,0.205167,0.262902,0.25446,0.255413,0.264202,0.380661,0.247424,0.207557,0.213967,0.261754,0.292447,0.317334,0.53761,0.226917,0.207489,0.253111,0.237218,0.2022,0.146846,0.223357,0.236726,0.254527,0.193012,0.363863,0.214035,0.219384,0.223559,0.207367,0.443542,0.183426,0.247569,0.204344,0.247555,0.288418,0.519466,0.293188,0.596224,0.457844,0.763892,0.851385,1.00453,0.38272,0.528644,0.54432,0.349406,0.377675,0.539051,0.483429,0.877325,0.480011,0.24037,0.61063,0.30806,0.391054,0.335183,0.574152,0.323493,0.452324
